codePC,PC,codeRC,RC,Probab
P13,13. Téléphone de sécurité (TSE),P13R2,2_TSE OK,0.8
P14,14. Armoire(s) PST,P14R0,0_Dégradations visibles,0.1
P14,14. Armoire(s) PST,P14R1,2_Armoire PST OK,0.1
P14,14. Armoire(s) PST,P14R2,2_Issue non équipée,0.8
P15,15. Signalétique,P15R0,2_Présence et lisibilité de la signalétique OK,0.8
P15,15. Signalétique,P15R1,1_Signalétique manquante ou non lisible,0.2
P16,16. Main-courante,P16R0,2_Main-courante OK,0.8
P16,16. Main-courante,P16R1,1_Anomalie main-courante,0.2
P17,17. Caméra anti-intrusion,P17R0,2_Contrôle visuel OK,0.8
P17,17. Caméra anti-intrusion,P17R1,2_Issue non équipée,0.1
P17,17. Caméra anti-intrusion,P17R2,0_Dégradations visibles,0.1
P18,18. Porte/portillon/trappe sortie issue,P18R0,2_Porte extérieure OK,0.8
P18,18. Porte/portillon/trappe sortie issue,P18R1,2_Issue non équipée,0.05
P18,18. Porte/portillon/trappe sortie issue,P18R2,0_Porte extérieure bloquée,0.025
P18,18. Porte/portillon/trappe sortie issue,P18R3,1_Porte extérieure dure à ouvrir,0.025
P18,18. Porte/portillon/trappe sortie issue,P18R4,1_Porte extérieure endommagée,0.025
P18,18. Porte/portillon/trappe sortie issue,P18R5,1_Problème d'étanchéité,0.025
P18,18. Porte/portillon/trappe sortie issue,P18R6,1_Porte extérieure ne se refermant pas seule,0.025
P18,18. Porte/portillon/trappe sortie issue,P18R7,1_Autre anomalie à signaler,0.025
P19,19. Eclairage extérieur,P19R0,2_Eclairage extérieur OK,0.8
P19,19. Eclairage extérieur,P19R1,0_Eclairage extérieur inexistant,0.1
P19,19. Eclairage extérieur,P19R2,1_Eclairage extérieur dégradé,0.1
P20,20. Panneau Point de rassemblement,P20R0,2_Panneau présent et lisible,0.8
P20,20. Panneau Point de rassemblement,P20R1,0_Panneau absent/introuvable,0.1
P20,20. Panneau Point de rassemblement,P20R2,1_Panneau dégradé,0.1
P21,21. Bilan général issue,P21R0,0_Anomalies urgentes à signaler,0.1
P21,21. Bilan général issue,P21R1,1_Anomalies légères à signaler,0.1
P21,21. Bilan général issue,P21R2,2_Pas d'autre anomalies à signaler,0.8
P22,22. GTC ouverture porte tunnel,P22R0,2_Remontée GTC OK,0.8
P22,22. GTC ouverture porte tunnel,P22R1,0_Anomalie remontée GTC,0.2
P23,23. GTC intrusion porte extérieure,P23R0,2_Remontée GTC OK,0.8
P23,23. GTC intrusion porte extérieure,P23R1,0_Anomalie remontée GTC,0.2
P24,24. GTC Détection présence en IS,P24R0,2_Remontée GTC OK,0.8
P24,24. GTC Détection présence en IS,P24R1,0_Anomalie remontée GTC,0.2
P25,25. GTC Visualisation caméra IS,P25R0,2_Remontée GTC OK,0.8
P25,25. GTC Visualisation caméra IS,P25R1,0_Anomalie remontée GTC,0.2
