,indRap,PC,RC,Com
64,4,P05,R1,Commentaire Aléatoire0_Très
65,4,P06,R2,Commentaire Aléatoire2_Trop Û
66,4,P07,R7,Commentaire Aléatoire2_Trop Û
67,4,P08,R5,Commentaire Aléatoire3_Trois_Ècî
68,4,P09,R2,Commentaire Aléatoire0_Très
69,4,P10,R2,Commentaire Aléatoire4_Qûàtré
70,4,P11,R2,Commentaire Aléatoire0_Très
71,4,P12,R1,Commentaire Aléatoire1_îàèù
72,4,P13,R2,Commentaire Aléatoire3_Trois_Ècî
73,4,P14,R2,Commentaire Aléatoire3_Trois_Ècî
74,4,P20,R2,Commentaire Aléatoire3_Trois_Ècî
75,5,P01,R4,Commentaire Aléatoire4_Qûàtré
76,5,P02,R4,Commentaire Aléatoire0_Très
77,5,P03,R4,Commentaire Aléatoire0_Très
78,5,P04,R5,Commentaire Aléatoire0_Très
79,5,P05,R2,Commentaire Aléatoire3_Trois_Ècî
80,5,P06,R2,Commentaire Aléatoire1_îàèù
81,5,P07,R7,Commentaire Aléatoire1_îàèù
82,5,P08,R4,Commentaire Aléatoire3_Trois_Ècî
83,5,P09,R2,Commentaire Aléatoire3_Trois_Ècî
84,5,P10,R2,Commentaire Aléatoire4_Qûàtré
85,5,P11,R2,Commentaire Aléatoire0_Très
86,5,P12,R3,Commentaire Aléatoire4_Qûàtré
87,5,P13,R2,Commentaire Aléatoire3_Trois_Ècî
88,5,P14,R0,Commentaire Aléatoire2_Trop Û
89,5,P20,R2,Commentaire Aléatoire2_Trop Û
90,6,P01,R4,Commentaire Aléatoire0_Très
91,6,P02,R9,Commentaire Aléatoire4_Qûàtré
92,6,P03,R4,Commentaire Aléatoire1_îàèù
93,6,P04,R5,Commentaire Aléatoire1_îàèù
94,6,P05,R2,Commentaire Aléatoire1_îàèù
95,6,P06,R2,Commentaire Aléatoire2_Trop Û
96,6,P07,R7,Commentaire Aléatoire2_Trop Û
97,6,P08,R5,Commentaire Aléatoire0_Très
98,6,P09,R0,Commentaire Aléatoire0_Très
99,6,P10,R2,Commentaire Aléatoire0_Très
100,6,P11,R0,Commentaire Aléatoire0_Très
101,6,P12,R0,Commentaire Aléatoire4_Qûàtré
102,6,P13,R1,Commentaire Aléatoire0_Très
103,6,P14,R0,Commentaire Aléatoire0_Très
104,6,P20,R2,Commentaire Aléatoire1_îàèù
105,7,P01,R4,Commentaire Aléatoire2_Trop Û
106,7,P02,R9,Commentaire Aléatoire3_Trois_Ècî
107,7,P03,R4,Commentaire Aléatoire4_Qûàtré
108,7,P04,R2,Commentaire Aléatoire1_îàèù
109,7,P05,R2,Commentaire Aléatoire4_Qûàtré
110,7,P06,R2,Commentaire Aléatoire1_îàèù
111,7,P07,R7,Commentaire Aléatoire2_Trop Û
112,7,P08,R5,Commentaire Aléatoire0_Très
113,7,P09,R2,Commentaire Aléatoire4_Qûàtré
114,7,P10,R2,Commentaire Aléatoire2_Trop Û
115,7,P11,R2,Commentaire Aléatoire3_Trois_Ècî
116,7,P12,R3,Commentaire Aléatoire0_Très
117,7,P13,R2,Commentaire Aléatoire4_Qûàtré
118,7,P14,R2,Commentaire Aléatoire2_Trop Û
119,7,P20,R2,Commentaire Aléatoire4_Qûàtré
120,8,P01,R4,Commentaire Aléatoire2_Trop Û
121,8,P02,R9,Commentaire Aléatoire2_Trop Û
122,8,P03,R3,Commentaire Aléatoire2_Trop Û
123,8,P04,R5,Commentaire Aléatoire3_Trois_Ècî
124,8,P05,R1,Commentaire Aléatoire4_Qûàtré
125,8,P06,R2,Commentaire Aléatoire1_îàèù
126,8,P07,R7,Commentaire Aléatoire2_Trop Û
127,8,P08,R5,Commentaire Aléatoire2_Trop Û
128,8,P09,R2,Commentaire Aléatoire3_Trois_Ècî
129,8,P10,R2,Commentaire Aléatoire0_Très
130,8,P11,R1,Commentaire Aléatoire0_Très
131,8,P12,R3,Commentaire Aléatoire4_Qûàtré
132,8,P13,R2,Commentaire Aléatoire2_Trop Û
133,8,P14,R2,Commentaire Aléatoire0_Très
134,8,P20,R2,Commentaire Aléatoire2_Trop Û
135,9,P01,R4,Commentaire Aléatoire1_îàèù
136,9,P02,R9,Commentaire Aléatoire4_Qûàtré
137,9,P03,R4,Commentaire Aléatoire2_Trop Û
138,9,P04,R5,Commentaire Aléatoire4_Qûàtré
139,9,P05,R2,Commentaire Aléatoire4_Qûàtré
140,9,P06,R2,Commentaire Aléatoire1_îàèù
141,9,P07,R7,Commentaire Aléatoire2_Trop Û
142,9,P08,R5,Commentaire Aléatoire0_Très
143,9,P09,R1,Commentaire Aléatoire3_Trois_Ècî
144,9,P10,R2,Commentaire Aléatoire3_Trois_Ècî
145,9,P11,R2,Commentaire Aléatoire1_îàèù
146,9,P12,R3,Commentaire Aléatoire2_Trop Û
147,9,P13,R0,Commentaire Aléatoire1_îàèù
148,9,P14,R2,Commentaire Aléatoire2_Trop Û
149,9,P20,R2,Commentaire Aléatoire0_Très
150,10,P01,R1,Commentaire Aléatoire0_Très
151,10,P02,R9,Commentaire Aléatoire4_Qûàtré
152,10,P03,R1,Commentaire Aléatoire3_Trois_Ècî
153,10,P04,R5,Commentaire Aléatoire0_Très
154,10,P05,R2,Commentaire Aléatoire0_Très
155,10,P06,R2,Commentaire Aléatoire1_îàèù
156,10,P07,R5,Commentaire Aléatoire2_Trop Û
157,10,P08,R5,Commentaire Aléatoire3_Trois_Ècî
158,10,P09,R0,Commentaire Aléatoire1_îàèù
159,10,P10,R2,Commentaire Aléatoire3_Trois_Ècî
160,10,P11,R2,Commentaire Aléatoire1_îàèù
161,10,P12,R1,Commentaire Aléatoire4_Qûàtré
162,10,P13,R2,Commentaire Aléatoire0_Très
163,10,P14,R1,Commentaire Aléatoire0_Très
164,10,P20,R2,Commentaire Aléatoire1_îàèù
165,11,P01,R4,Commentaire Aléatoire1_îàèù
166,11,P02,R9,Commentaire Aléatoire4_Qûàtré
167,11,P03,R0,Commentaire Aléatoire0_Très
168,11,P04,R5,Commentaire Aléatoire0_Très
169,11,P05,R1,Commentaire Aléatoire2_Trop Û
170,11,P06,R2,Commentaire Aléatoire0_Très
171,11,P07,R7,Commentaire Aléatoire1_îàèù
172,11,P08,R5,Commentaire Aléatoire4_Qûàtré
173,11,P09,R2,Commentaire Aléatoire0_Très
174,11,P10,R1,Commentaire Aléatoire0_Très
175,11,P11,R1,Commentaire Aléatoire2_Trop Û
176,11,P12,R3,Commentaire Aléatoire4_Qûàtré
177,11,P13,R2,Commentaire Aléatoire1_îàèù
178,11,P14,R0,Commentaire Aléatoire4_Qûàtré
179,11,P20,R2,Commentaire Aléatoire0_Très
180,12,P01,R4,Commentaire Aléatoire0_Très
181,12,P02,R5,Commentaire Aléatoire3_Trois_Ècî
182,12,P03,R2,Commentaire Aléatoire4_Qûàtré
183,12,P04,R5,Commentaire Aléatoire3_Trois_Ècî
184,12,P05,R2,Commentaire Aléatoire2_Trop Û
185,12,P06,R2,Commentaire Aléatoire1_îàèù
186,12,P07,R7,Commentaire Aléatoire1_îàèù
187,12,P08,R5,Commentaire Aléatoire2_Trop Û
188,12,P09,R2,Commentaire Aléatoire1_îàèù
189,12,P10,R2,Commentaire Aléatoire4_Qûàtré
190,12,P11,R2,Commentaire Aléatoire4_Qûàtré
191,12,P12,R3,Commentaire Aléatoire2_Trop Û
192,12,P13,R0,Commentaire Aléatoire0_Très
193,12,P14,R2,Commentaire Aléatoire4_Qûàtré
194,12,P20,R0,Commentaire Aléatoire1_îàèù
195,13,P01,R2,Commentaire Aléatoire0_Très
196,13,P02,R9,Commentaire Aléatoire3_Trois_Ècî
197,13,P03,R4,Commentaire Aléatoire4_Qûàtré
198,13,P04,R5,Commentaire Aléatoire0_Très
199,13,P05,R2,Commentaire Aléatoire4_Qûàtré
200,13,P06,R2,Commentaire Aléatoire3_Trois_Ècî
201,13,P07,R7,Commentaire Aléatoire0_Très
202,13,P08,R5,Commentaire Aléatoire3_Trois_Ècî
203,13,P09,R2,Commentaire Aléatoire2_Trop Û
204,13,P10,R0,Commentaire Aléatoire3_Trois_Ècî
205,13,P11,R2,Commentaire Aléatoire3_Trois_Ècî
206,13,P12,R3,Commentaire Aléatoire3_Trois_Ècî
207,13,P13,R2,Commentaire Aléatoire0_Très
208,13,P14,R2,Commentaire Aléatoire3_Trois_Ècî
209,13,P20,R2,Commentaire Aléatoire2_Trop Û
210,14,P01,R1,Commentaire Aléatoire4_Qûàtré
211,14,P02,R9,Commentaire Aléatoire0_Très
212,14,P03,R4,Commentaire Aléatoire4_Qûàtré
213,14,P04,R5,Commentaire Aléatoire4_Qûàtré
214,14,P05,R1,Commentaire Aléatoire4_Qûàtré
215,14,P06,R2,Commentaire Aléatoire1_îàèù
216,14,P07,R7,Commentaire Aléatoire1_îàèù
217,14,P08,R5,Commentaire Aléatoire0_Très
218,14,P09,R2,Commentaire Aléatoire2_Trop Û
219,14,P10,R2,Commentaire Aléatoire4_Qûàtré
220,14,P11,R2,Commentaire Aléatoire4_Qûàtré
221,14,P12,R2,Commentaire Aléatoire4_Qûàtré
222,14,P13,R2,Commentaire Aléatoire4_Qûàtré
223,14,P14,R2,Commentaire Aléatoire0_Très
224,14,P20,R2,Commentaire Aléatoire2_Trop Û
225,15,P01,R4,Commentaire Aléatoire0_Très
226,15,P02,R9,Commentaire Aléatoire1_îàèù
227,15,P03,R3,Commentaire Aléatoire1_îàèù
228,15,P04,R5,Commentaire Aléatoire3_Trois_Ècî
229,15,P05,R0,Commentaire Aléatoire0_Très
230,15,P06,R2,Commentaire Aléatoire1_îàèù
231,15,P07,R7,Commentaire Aléatoire3_Trois_Ècî
232,15,P08,R5,Commentaire Aléatoire4_Qûàtré
233,15,P09,R2,Commentaire Aléatoire1_îàèù
234,15,P10,R2,Commentaire Aléatoire0_Très
235,15,P11,R2,Commentaire Aléatoire3_Trois_Ècî
236,15,P12,R3,Commentaire Aléatoire0_Très
237,15,P13,R0,Commentaire Aléatoire2_Trop Û
238,15,P14,R2,Commentaire Aléatoire1_îàèù
239,15,P20,R2,Commentaire Aléatoire0_Très
240,16,P01,R4,Commentaire Aléatoire1_îàèù
241,16,P02,R8,Commentaire Aléatoire1_îàèù
242,16,P03,R4,Commentaire Aléatoire2_Trop Û
243,16,P04,R5,Commentaire Aléatoire3_Trois_Ècî
244,16,P05,R0,Commentaire Aléatoire1_îàèù
245,16,P06,R2,Commentaire Aléatoire2_Trop Û
246,16,P07,R7,Commentaire Aléatoire1_îàèù
247,16,P08,R5,Commentaire Aléatoire2_Trop Û
248,16,P09,R2,Commentaire Aléatoire0_Très
249,16,P10,R2,Commentaire Aléatoire2_Trop Û
250,16,P11,R2,Commentaire Aléatoire4_Qûàtré
251,16,P12,R1,Commentaire Aléatoire3_Trois_Ècî
252,16,P13,R2,Commentaire Aléatoire0_Très
253,16,P14,R2,Commentaire Aléatoire2_Trop Û
254,16,P20,R1,Commentaire Aléatoire0_Très
255,17,P01,R1,Commentaire Aléatoire2_Trop Û
256,17,P02,R9,Commentaire Aléatoire1_îàèù
257,17,P03,R0,Commentaire Aléatoire1_îàèù
258,17,P04,R3,Commentaire Aléatoire4_Qûàtré
259,17,P05,R0,Commentaire Aléatoire3_Trois_Ècî
260,17,P06,R2,Commentaire Aléatoire4_Qûàtré
261,17,P07,R7,Commentaire Aléatoire2_Trop Û
262,17,P08,R3,Commentaire Aléatoire0_Très
263,17,P09,R2,Commentaire Aléatoire1_îàèù
264,17,P10,R2,Commentaire Aléatoire3_Trois_Ècî
265,17,P11,R2,Commentaire Aléatoire4_Qûàtré
266,17,P12,R2,Commentaire Aléatoire0_Très
267,17,P13,R1,Commentaire Aléatoire1_îàèù
268,17,P14,R2,Commentaire Aléatoire2_Trop Û
269,17,P20,R2,Commentaire Aléatoire1_îàèù
270,18,P01,R4,Commentaire Aléatoire0_Très
271,18,P02,R2,Commentaire Aléatoire0_Très
272,18,P03,R4,Commentaire Aléatoire3_Trois_Ècî
273,18,P04,R3,Commentaire Aléatoire2_Trop Û
274,18,P05,R2,Commentaire Aléatoire2_Trop Û
275,18,P06,R2,Commentaire Aléatoire1_îàèù
276,18,P07,R7,Commentaire Aléatoire4_Qûàtré
277,18,P08,R5,Commentaire Aléatoire0_Très
278,18,P09,R2,Commentaire Aléatoire2_Trop Û
279,18,P10,R2,Commentaire Aléatoire2_Trop Û
280,18,P11,R0,Commentaire Aléatoire2_Trop Û
281,18,P12,R3,Commentaire Aléatoire1_îàèù
282,18,P13,R0,Commentaire Aléatoire0_Très
283,18,P14,R2,Commentaire Aléatoire1_îàèù
284,18,P20,R2,Commentaire Aléatoire0_Très
285,19,P01,R4,Commentaire Aléatoire0_Très
286,19,P02,R9,Commentaire Aléatoire4_Qûàtré
287,19,P03,R4,Commentaire Aléatoire2_Trop Û
288,19,P04,R5,Commentaire Aléatoire3_Trois_Ècî
289,19,P05,R1,Commentaire Aléatoire3_Trois_Ècî
290,19,P06,R2,Commentaire Aléatoire4_Qûàtré
291,19,P07,R7,Commentaire Aléatoire4_Qûàtré
292,19,P08,R5,Commentaire Aléatoire2_Trop Û
293,19,P09,R2,Commentaire Aléatoire2_Trop Û
294,19,P10,R2,Commentaire Aléatoire1_îàèù
295,19,P11,R2,Commentaire Aléatoire0_Très
296,19,P12,R3,Commentaire Aléatoire2_Trop Û
297,19,P13,R2,Commentaire Aléatoire4_Qûàtré
298,19,P14,R2,Commentaire Aléatoire3_Trois_Ècî
299,19,P20,R2,Commentaire Aléatoire4_Qûàtré
300,20,P01,R4,Commentaire Aléatoire0_Très
301,20,P02,R9,Commentaire Aléatoire4_Qûàtré
302,20,P03,R4,Commentaire Aléatoire4_Qûàtré
303,20,P04,R5,Commentaire Aléatoire1_îàèù
304,20,P05,R2,Commentaire Aléatoire3_Trois_Ècî
305,20,P06,R2,Commentaire Aléatoire4_Qûàtré
306,20,P07,R0,Commentaire Aléatoire3_Trois_Ècî
307,20,P08,R5,Commentaire Aléatoire3_Trois_Ècî
308,20,P09,R2,Commentaire Aléatoire0_Très
309,20,P10,R1,Commentaire Aléatoire3_Trois_Ècî
310,20,P11,R2,Commentaire Aléatoire4_Qûàtré
311,20,P12,R3,Commentaire Aléatoire3_Trois_Ècî
312,20,P13,R2,Commentaire Aléatoire4_Qûàtré
313,20,P14,R2,Commentaire Aléatoire3_Trois_Ècî
314,20,P20,R2,Commentaire Aléatoire4_Qûàtré
315,21,P01,R0,Commentaire Aléatoire3_Trois_Ècî
316,21,P02,R9,Commentaire Aléatoire2_Trop Û
317,21,P03,R3,Commentaire Aléatoire4_Qûàtré
318,21,P04,R5,Commentaire Aléatoire1_îàèù
319,21,P05,R2,Commentaire Aléatoire4_Qûàtré
320,21,P06,R2,Commentaire Aléatoire2_Trop Û
321,21,P07,R7,Commentaire Aléatoire1_îàèù
322,21,P08,R5,Commentaire Aléatoire4_Qûàtré
323,21,P09,R2,Commentaire Aléatoire3_Trois_Ècî
324,21,P10,R0,Commentaire Aléatoire3_Trois_Ècî
325,21,P11,R0,Commentaire Aléatoire3_Trois_Ècî
326,21,P12,R3,Commentaire Aléatoire1_îàèù
327,21,P13,R2,Commentaire Aléatoire4_Qûàtré
328,21,P14,R2,Commentaire Aléatoire0_Très
329,21,P20,R2,Commentaire Aléatoire0_Très
330,22,P01,R4,Commentaire Aléatoire3_Trois_Ècî
331,22,P02,R9,Commentaire Aléatoire4_Qûàtré
332,22,P03,R4,Commentaire Aléatoire1_îàèù
333,22,P04,R5,Commentaire Aléatoire1_îàèù
334,22,P05,R2,Commentaire Aléatoire3_Trois_Ècî
335,22,P06,R2,Commentaire Aléatoire4_Qûàtré
336,22,P07,R7,Commentaire Aléatoire0_Très
337,22,P08,R5,Commentaire Aléatoire4_Qûàtré
338,22,P09,R2,Commentaire Aléatoire3_Trois_Ècî
339,22,P10,R2,Commentaire Aléatoire2_Trop Û
340,22,P11,R1,Commentaire Aléatoire0_Très
341,22,P12,R3,Commentaire Aléatoire4_Qûàtré
342,22,P13,R2,Commentaire Aléatoire0_Très
343,22,P14,R2,Commentaire Aléatoire3_Trois_Ècî
344,22,P20,R2,Commentaire Aléatoire4_Qûàtré
345,23,P01,R2,Commentaire Aléatoire4_Qûàtré
346,23,P02,R9,Commentaire Aléatoire4_Qûàtré
347,23,P03,R4,Commentaire Aléatoire4_Qûàtré
348,23,P04,R5,Commentaire Aléatoire4_Qûàtré
349,23,P05,R2,Commentaire Aléatoire3_Trois_Ècî
350,23,P06,R2,Commentaire Aléatoire2_Trop Û
351,23,P07,R6,Commentaire Aléatoire1_îàèù
352,23,P08,R5,Commentaire Aléatoire0_Très
353,23,P09,R1,Commentaire Aléatoire3_Trois_Ècî
354,23,P10,R2,Commentaire Aléatoire2_Trop Û
355,23,P11,R2,Commentaire Aléatoire4_Qûàtré
356,23,P12,R3,Commentaire Aléatoire0_Très
357,23,P13,R2,Commentaire Aléatoire0_Très
358,23,P14,R2,Commentaire Aléatoire4_Qûàtré
359,23,P20,R0,Commentaire Aléatoire4_Qûàtré
360,24,P01,R4,Commentaire Aléatoire0_Très
361,24,P02,R9,Commentaire Aléatoire2_Trop Û
362,24,P03,R4,Commentaire Aléatoire1_îàèù
363,24,P04,R5,Commentaire Aléatoire3_Trois_Ècî
364,24,P05,R2,Commentaire Aléatoire1_îàèù
365,24,P06,R2,Commentaire Aléatoire3_Trois_Ècî
366,24,P07,R7,Commentaire Aléatoire4_Qûàtré
367,24,P08,R5,Commentaire Aléatoire1_îàèù
368,24,P09,R0,Commentaire Aléatoire2_Trop Û
369,24,P10,R2,Commentaire Aléatoire0_Très
370,24,P11,R0,Commentaire Aléatoire3_Trois_Ècî
371,24,P12,R3,Commentaire Aléatoire3_Trois_Ècî
372,24,P13,R2,Commentaire Aléatoire4_Qûàtré
373,24,P14,R2,Commentaire Aléatoire3_Trois_Ècî
374,24,P20,R0,Commentaire Aléatoire0_Très
375,25,P01,R2,Commentaire Aléatoire1_îàèù
376,25,P02,R6,Commentaire Aléatoire4_Qûàtré
377,25,P03,R4,Commentaire Aléatoire3_Trois_Ècî
378,25,P04,R5,Commentaire Aléatoire3_Trois_Ècî
379,25,P05,R2,Commentaire Aléatoire0_Très
380,25,P06,R2,Commentaire Aléatoire2_Trop Û
381,25,P07,R6,Commentaire Aléatoire4_Qûàtré
382,25,P08,R5,Commentaire Aléatoire1_îàèù
383,25,P09,R0,Commentaire Aléatoire0_Très
384,25,P10,R2,Commentaire Aléatoire1_îàèù
385,25,P11,R2,Commentaire Aléatoire4_Qûàtré
386,25,P12,R3,Commentaire Aléatoire3_Trois_Ècî
387,25,P13,R2,Commentaire Aléatoire1_îàèù
388,25,P14,R2,Commentaire Aléatoire2_Trop Û
389,25,P20,R2,Commentaire Aléatoire3_Trois_Ècî
390,26,P01,R3,Commentaire Aléatoire0_Très
391,26,P02,R9,Commentaire Aléatoire1_îàèù
392,26,P03,R4,Commentaire Aléatoire3_Trois_Ècî
393,26,P04,R5,Commentaire Aléatoire3_Trois_Ècî
394,26,P05,R2,Commentaire Aléatoire4_Qûàtré
395,26,P06,R2,Commentaire Aléatoire1_îàèù
396,26,P07,R0,Commentaire Aléatoire4_Qûàtré
397,26,P08,R5,Commentaire Aléatoire3_Trois_Ècî
398,26,P09,R2,Commentaire Aléatoire1_îàèù
399,26,P10,R2,Commentaire Aléatoire1_îàèù
400,26,P11,R2,Commentaire Aléatoire1_îàèù
401,26,P12,R3,Commentaire Aléatoire2_Trop Û
402,26,P13,R2,Commentaire Aléatoire0_Très
403,26,P14,R1,Commentaire Aléatoire3_Trois_Ècî
404,26,P20,R2,Commentaire Aléatoire3_Trois_Ècî
405,27,P01,R4,Commentaire Aléatoire1_îàèù
406,27,P02,R9,Commentaire Aléatoire1_îàèù
407,27,P03,R4,Commentaire Aléatoire4_Qûàtré
408,27,P04,R5,Commentaire Aléatoire0_Très
409,27,P05,R2,Commentaire Aléatoire1_îàèù
410,27,P06,R2,Commentaire Aléatoire1_îàèù
411,27,P07,R7,Commentaire Aléatoire1_îàèù
412,27,P08,R5,Commentaire Aléatoire0_Très
413,27,P09,R2,Commentaire Aléatoire0_Très
414,27,P10,R0,Commentaire Aléatoire2_Trop Û
415,27,P11,R0,Commentaire Aléatoire2_Trop Û
416,27,P12,R3,Commentaire Aléatoire4_Qûàtré
417,27,P13,R2,Commentaire Aléatoire2_Trop Û
418,27,P14,R0,Commentaire Aléatoire3_Trois_Ècî
419,27,P20,R2,Commentaire Aléatoire1_îàèù
420,28,P01,R4,Commentaire Aléatoire1_îàèù
421,28,P02,R9,Commentaire Aléatoire4_Qûàtré
422,28,P03,R4,Commentaire Aléatoire4_Qûàtré
423,28,P04,R5,Commentaire Aléatoire2_Trop Û
424,28,P05,R2,Commentaire Aléatoire0_Très
425,28,P06,R2,Commentaire Aléatoire1_îàèù
426,28,P07,R7,Commentaire Aléatoire0_Très
427,28,P08,R5,Commentaire Aléatoire0_Très
428,28,P09,R2,Commentaire Aléatoire4_Qûàtré
429,28,P10,R1,Commentaire Aléatoire0_Très
430,28,P11,R2,Commentaire Aléatoire2_Trop Û
431,28,P12,R0,Commentaire Aléatoire2_Trop Û
432,28,P13,R2,Commentaire Aléatoire2_Trop Û
433,28,P14,R2,Commentaire Aléatoire1_îàèù
434,28,P20,R2,Commentaire Aléatoire3_Trois_Ècî
435,29,P01,R0,Commentaire Aléatoire3_Trois_Ècî
436,29,P02,R9,Commentaire Aléatoire4_Qûàtré
437,29,P03,R4,Commentaire Aléatoire2_Trop Û
438,29,P04,R5,Commentaire Aléatoire1_îàèù
439,29,P05,R2,Commentaire Aléatoire4_Qûàtré
440,29,P06,R2,Commentaire Aléatoire0_Très
441,29,P07,R7,Commentaire Aléatoire2_Trop Û
442,29,P08,R5,Commentaire Aléatoire4_Qûàtré
443,29,P09,R0,Commentaire Aléatoire4_Qûàtré
444,29,P10,R2,Commentaire Aléatoire3_Trois_Ècî
445,29,P11,R2,Commentaire Aléatoire2_Trop Û
446,29,P12,R3,Commentaire Aléatoire2_Trop Û
447,29,P13,R2,Commentaire Aléatoire0_Très
448,29,P14,R2,Commentaire Aléatoire1_îàèù
449,29,P20,R2,Commentaire Aléatoire4_Qûàtré
450,30,P01,R4,Commentaire Aléatoire3_Trois_Ècî
451,30,P02,R9,Commentaire Aléatoire2_Trop Û
452,30,P03,R4,Commentaire Aléatoire0_Très
453,30,P04,R5,Commentaire Aléatoire1_îàèù
454,30,P05,R2,Commentaire Aléatoire4_Qûàtré
455,30,P06,R2,Commentaire Aléatoire1_îàèù
456,30,P07,R7,Commentaire Aléatoire1_îàèù
457,30,P08,R2,Commentaire Aléatoire0_Très
458,30,P09,R2,Commentaire Aléatoire3_Trois_Ècî
459,30,P10,R0,Commentaire Aléatoire4_Qûàtré
460,30,P11,R2,Commentaire Aléatoire0_Très
461,30,P12,R1,Commentaire Aléatoire1_îàèù
462,30,P13,R2,Commentaire Aléatoire2_Trop Û
463,30,P14,R2,Commentaire Aléatoire2_Trop Û
464,30,P20,R2,Commentaire Aléatoire1_îàèù
465,31,P01,R4,Commentaire Aléatoire2_Trop Û
466,31,P02,R5,Commentaire Aléatoire4_Qûàtré
467,31,P03,R4,Commentaire Aléatoire3_Trois_Ècî
468,31,P04,R5,Commentaire Aléatoire4_Qûàtré
469,31,P05,R2,Commentaire Aléatoire2_Trop Û
470,31,P06,R2,Commentaire Aléatoire1_îàèù
471,31,P07,R7,Commentaire Aléatoire1_îàèù
472,31,P08,R3,Commentaire Aléatoire3_Trois_Ècî
473,31,P09,R2,Commentaire Aléatoire4_Qûàtré
474,31,P10,R2,Commentaire Aléatoire0_Très
475,31,P11,R2,Commentaire Aléatoire4_Qûàtré
476,31,P12,R3,Commentaire Aléatoire1_îàèù
477,31,P13,R2,Commentaire Aléatoire4_Qûàtré
478,31,P14,R2,Commentaire Aléatoire2_Trop Û
479,31,P20,R0,Commentaire Aléatoire3_Trois_Ècî
480,32,P01,R4,Commentaire Aléatoire1_îàèù
481,32,P02,R4,Commentaire Aléatoire1_îàèù
